SMILES,pIC50,mol,num_atoms,logP
CS(=O)(=O)c1ccccc1Nc1nc2c(Nc3ccccc3S(C)(=O)=O)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320db60>,31,3.023500000000001
c1ccc(-c2cccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nn23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dbd0>,30,4.614500000000003
CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dc40>,27,2.0013999999999994
O=[N+]([O-])c1cccc(CNc2cccn3nc(N4CCOCC4)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dcb0>,26,2.0862
NC1CCN(c2nc3c(NCc4cccnc4)cccn3n2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dd20>,24,1.663899999999999
c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dd90>,26,1.4804999999999997
CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)c2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320de00>,37,4.314000000000004
CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)cc2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320de70>,37,4.314000000000003
c1ccc2c(c1)CCCN2c1nc2cccc(N3CCCc4ccccc43)n2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dee0>,29,4.897900000000004
COCc1ccccc1-c1cccc2nc(Nc3ccc4c(c3)CCNCC4)nn12,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320df50>,30,3.9745000000000017
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3cccc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc12,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dfc0>,41,7.281800000000007
CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e030>,40,6.697000000000005
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e0a0>,33,3.8454000000000024
COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e110>,28,3.497200000000001
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e180>,28,2.849400000000001
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,5.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e1f0>,34,3.672500000000001
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,5.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e260>,27,3.992200000000003
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,5.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e2d0>,34,3.5859000000000023
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,5.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e340>,30,4.386300000000003
COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,5.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e3b0>,29,4.002900000000002
CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,5.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e420>,31,4.640800000000003
c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,5.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e490>,26,3.700000000000001
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC2CC2)C1,5.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e500>,23,1.2060999999999995
O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1,5.15,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e570>,26,4.105500000000001
CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,5.15,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e5e0>,36,7.006180000000006
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,5.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e650>,30,2.969500000000002
Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,5.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e6c0>,37,5.060100000000005
Cc1ccccc1S(=O)(=O)Nc1cnc(N2CCCCC2)c(C(=O)O)c1,5.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e730>,26,2.8793200000000008
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,5.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e7a0>,27,4.271900000000003
O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1,5.18,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e810>,25,3.038100000000001
O=C(Nc1nc2cccc(-c3ccc(CN4CCCCC4)cc3)n2n1)C1CC1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e880>,28,3.7307000000000032
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e8f0>,41,7.281800000000007
CN1CCN(c2cncc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)n2)CC1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e960>,37,2.0225999999999997
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4ccccn4)nc23)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e9d0>,27,2.8069000000000015
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ea40>,30,3.8213000000000026
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,5.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eab0>,26,4.061400000000003
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,5.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eb20>,19,3.7262200000000023
CC(C)c1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.23,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eb90>,24,2.8843000000000005
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,5.24,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ec00>,18,3.4178000000000015
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ec70>,25,5.103800000000002
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ece0>,29,2.0826
OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ed50>,34,4.233000000000003
CN1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,5.29,<rdkit.Chem.rdchem.Mol object at 0x7f59a320edc0>,29,2.4922000000000004
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1Br,5.3,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ee30>,25,5.212900000000003
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,5.3,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eea0>,26,2.6366000000000005
COc1ccc(-c2nc3[nH]cc(Br)c(NCC4CCN(C)CC4)c-3n2)cc1,5.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ef10>,27,4.101300000000003
NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,5.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ef80>,25,2.7797
NCCn1c(-c2cccnc2N)nc2cc(C(N)=O)ccc21,5.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eff0>,22,0.7381000000000004
N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,5.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f060>,25,3.8800800000000013
CN(C(=O)NC1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,5.36,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f0d0>,24,0.5277000000000003
CCOP(=O)(CCn1cc(-c2ccc(-c3nc(-c4cc[nH]c(=O)c4)c(-c4ccc(F)cc4)[nH]3)cc2)nn1)OCC,5.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f140>,40,5.762700000000006
NCCn1c(C2CCCCC2)nc2cc(C(N)=O)ccc21,5.39,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f1b0>,21,2.1415999999999995
CNCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,5.41,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f220>,23,1.3730999999999995
CC(C)N1CCC(S(=O)(=O)CC2CC(N(C)c3[nH]cnc4nccc3-4)C2)C1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f290>,27,2.0218
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f300>,31,3.407700000000001
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,5.43,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f370>,30,3.8199000000000023
O=C(O)c1cc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)ccc1O,5.43,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f3e0>,29,3.641900000000001
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1C1CCOCC1,5.47,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f450>,26,1.9491
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CCC(C#N)C2)C1,5.47,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f4c0>,26,0.5565799999999999
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOCC1,5.49,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f530>,25,1.81
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCO,5.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f5a0>,22,1.146
NCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f610>,21,0.5608999999999998
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,5.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f680>,21,1.8197999999999999
CNCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f6f0>,22,0.8215999999999994
Cc1ccc(OCC(C)C)c(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f760>,33,5.171320000000004
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)N(C)C,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f7d0>,25,3.384520000000002
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc2ncnc-2c(Nc2ccc(C(=O)N3CCOCC3)cc2)[nH]1,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f840>,44,6.0457200000000055
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCCNC4)c-3n2)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f8b0>,26,3.650000000000002
c1cc(-c2ccncc2)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nn2c1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f920>,30,4.009500000000002
COc1ccccc1Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f990>,28,5.167300000000003
COc1cc(N2CCN(C)CC2)ccc1Nc1nc2c(NCc3cccnc3N(C)S(C)(=O)=O)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fa00>,39,2.6362000000000005
Cc1nn(C)c(C)c1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fa70>,28,2.893740000000001
CS(=O)(=O)c1ccc(Oc2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fae0>,33,2.961000000000001
Oc1cccn2nc(Nc3ccc(C(F)(F)F)cc3)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fb50>,21,3.197300000000001
COc1ccc(C(F)(F)F)cc1Nc1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fbc0>,36,4.995700000000004
CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fc30>,42,5.682300000000006
COc1ccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fca0>,33,3.8454000000000033
COc1cccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)c1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fd10>,33,3.8454000000000033
CN1CCN(c2ccc(Nc3nc4ccc(-c5ccc(S(C)(=O)=O)cc5)cn4n3)cc2)CC1,5.53,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fd80>,33,3.295200000000002
CN(C)Cc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fdf0>,36,3.866200000000002
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(C)c1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fe60>,27,3.958420000000002
NCCc1nc2cc(C(N)=O)ccc2n1CCN,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fed0>,18,-0.4048999999999993
CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ff40>,42,4.155120000000003
Cc1ccc(Cl)cc1-c1cn(-c2ncnn3cccc23)cc1C(N)=O,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dc040>,25,3.247720000000001
COc1ccc(-c2cccn3nc(N)nc23)cn1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deab0>,18,1.3820999999999997
NCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,5.55,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deb20>,21,1.7609
Cc1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c(OCC(C)C)c1,5.55,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deb90>,33,5.171320000000004
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4ccc(S(C)(=O)=O)cc4)nc2-3)CC1,5.56,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dec00>,29,3.387100000000002
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4cccnc4)nc23)cc1,5.56,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dec70>,27,2.8069000000000006
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c(C)c1,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dece0>,28,4.300620000000004
NCCn1c(Cc2ccccc2)nc2cc(C(N)=O)ccc21,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31ded50>,22,1.6846999999999996
O=C(O)CN1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dedc0>,37,3.478500000000002
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C(F)(F)F)cc1,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dee30>,33,4.701000000000003
N#Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deea0>,23,1.63258
Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31def10>,22,2.0693200000000003
Cc1cccn2nc(Nc3ccc(S(C)(=O)=O)cc3)nc12,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31def80>,21,2.18482
NCCn1c(-c2ccc(O)cc2O)nc2cc(C(N)=O)ccc21,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deff0>,23,1.1721
CN1CCN(c2cccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df060>,33,3.295200000000002
Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nn1C(=O)c1c(F)cccc1F,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df0d0>,27,1.218
CN(C)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df140>,26,2.6366000000000005
c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,5.61,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df1b0>,18,0.6151999999999997
Cc1ccccc1Oc1cnc2[nH]cc(C(=O)NC(C)C)c2n1,5.63,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df220>,23,3.1968200000000007
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)cc1OC,5.64,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df290>,28,3.6586000000000016
NCCCn1c(CCN)nc2cc(C(N)=O)ccc21,5.66,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df300>,19,-0.014799999999999591
