From	Entry
9606.ENSP00000467141	Q8WZ42
9606.ENSP00000378015	O00522
9606.ENSP00000313950	Q96GD4
9606.ENSP00000381968	Q9NUV7
9606.ENSP00000258930	O75838
9606.ENSP00000222284	Q9BVK8
9606.ENSP00000457421	P16284
9606.ENSP00000371475	Q12888
9606.ENSP00000262018	Q16586
9606.ENSP00000349259	Q01082
9606.ENSP00000222644	Q9NZW5
9606.ENSP00000377033	P05496
9606.ENSP00000305416	P21453
9606.ENSP00000377224	P55273
9606.ENSP00000336712	Q92973
9606.ENSP00000288167	Q9NRM6
9606.ENSP00000319531	P23434
9606.ENSP00000200457	Q15654
9606.ENSP00000463393	O75396
9606.ENSP00000357065	Q969P0
9606.ENSP00000309913	Q99593
9606.ENSP00000354125	P55884
9606.ENSP00000270538	O43615
9606.ENSP00000368683	P05305
9606.ENSP00000339723	Q86X95
9606.ENSP00000309595	Q96RR1
9606.ENSP00000335074	Q9UBU3
9606.ENSP00000356016	E9PDY4
9606.ENSP00000216911	O14965
9606.ENSP00000351490	P61244
9606.ENSP00000279441	P09238
9606.ENSP00000278823	O94776
9606.ENSP00000256759	P19883
9606.ENSP00000289013	Q8TCX5
9606.ENSP00000308546	Q7L2J0
9606.ENSP00000261007	P02708
9606.ENSP00000353864	O75914
9606.ENSP00000310448	O43290
9606.ENSP00000340736	P46976
9606.ENSP00000259512	Q9BUN8
9606.ENSP00000376077	P63165
9606.ENSP00000400892	A2RU30
9606.ENSP00000264474	P01040
9606.ENSP00000286523	Q6PJG2
9606.ENSP00000356515	P46939
9606.ENSP00000457513	P13073
9606.ENSP00000359424	O15111
9606.ENSP00000234389	O60391
9606.ENSP00000347188	Q8NC69
9606.ENSP00000368389	Q9NPE2
9606.ENSP00000219905	Q8IWI9
9606.ENSP00000346694	P22626
9606.ENSP00000287490	Q02221
9606.ENSP00000237264	P62380
9606.ENSP00000422464	Q9NRA1
9606.ENSP00000407822	Q9UQ52
9606.ENSP00000245787	Q9Y5U4
9606.ENSP00000324173	P11021
9606.ENSP00000326888	Q7Z4I7
9606.ENSP00000325690	Q86X55
9606.ENSP00000473391	R4GMX3
9606.ENSP00000360060	Q92837
9606.ENSP00000376276	Q01130
9606.ENSP00000419740	Q96CB9
9606.ENSP00000300738	P23921
9606.ENSP00000305449	Q8NE01
9606.ENSP00000248572	P63211
9606.ENSP00000429690	O15342
9606.ENSP00000398495	Q9NR28
9606.ENSP00000427211	Q92870
9606.ENSP00000347345	Q9Y535
9606.ENSP00000252825	P23327
9606.ENSP00000266085	P35625
9606.ENSP00000215832	P28482
9606.ENSP00000262188	Q6STE5
9606.ENSP00000316228	Q9H2X3
9606.ENSP00000341838	P19429
9606.ENSP00000228843	Q96B01
9606.ENSP00000296028	P02775
9606.ENSP00000401878	Q8NFY9
9606.ENSP00000264690	P03952
9606.ENSP00000431418	P04629
9606.ENSP00000402346	Q9UBF2
9606.ENSP00000436786	Q03164
9606.ENSP00000330382	P01127
9606.ENSP00000451818	P61011
9606.ENSP00000302276	Q96MH2
9606.ENSP00000348635	Q86YT9
9606.ENSP00000286317	O43513
9606.ENSP00000247001	Q8IWZ8
9606.ENSP00000481762	O75534
9606.ENSP00000216218	P50502
9606.ENSP00000259708	Q9NSK0
9606.ENSP00000445806	Q3ZCQ8
9606.ENSP00000480157	Q5UE93
9606.ENSP00000247271	P23515
9606.ENSP00000365159	Q9BUE6
9606.ENSP00000270142	P00441
9606.ENSP00000381823	O95486
9606.ENSP00000376345	P62993
9606.ENSP00000352926	Q15561
9606.ENSP00000228534	Q9NPF7
9606.ENSP00000387739	Q8IY63
9606.ENSP00000220592	Q9UKV8
9606.ENSP00000223642	P01031
9606.ENSP00000333496	Q9NZV8
9606.ENSP00000260731	P52732
9606.ENSP00000364979	P02462
9606.ENSP00000223129	P35244
9606.ENSP00000394560	P45984
9606.ENSP00000308193	Q8TDP1
9606.ENSP00000267257	P49023
9606.ENSP00000228872	P46527
9606.ENSP00000349640	Q96EZ8
9606.ENSP00000482609	O00623
9606.ENSP00000282588	P56199
9606.ENSP00000398131	P15170
9606.ENSP00000335628	Q5MJ70
9606.ENSP00000355645	P68133
9606.ENSP00000399465	P17544
9606.ENSP00000309790	Q6P0N0
9606.ENSP00000414378	P52798
9606.ENSP00000352271	O43543
9606.ENSP00000438553	Q9BTM1
9606.ENSP00000304408	P02461
9606.ENSP00000296099	P55089
9606.ENSP00000326603	A6NHR9
9606.ENSP00000291759	P59901
9606.ENSP00000268379	P22695
9606.ENSP00000387911	O95453
9606.ENSP00000367972	P47928
9606.ENSP00000471457	Q13459
9606.ENSP00000274364	Q13576
9606.ENSP00000380794	Q8WUX9
9606.ENSP00000483631	A6NNY8
9606.ENSP00000261448	O14958
9606.ENSP00000238616	Q8TD19
9606.ENSP00000382004	O60716
9606.ENSP00000357177	O15085
9606.ENSP00000357858	O43684
9606.ENSP00000451211	Q8NHV4
9606.ENSP00000361433	Q13868
9606.ENSP00000299855	P08254
9606.ENSP00000313391	P98082
9606.ENSP00000293373	P55160
9606.ENSP00000259605	Q9H0F5
9606.ENSP00000368100	Q92878
9606.ENSP00000428220	A1A4Y4
9606.ENSP00000252593	Q10589
9606.ENSP00000383820	Q8N108
9606.ENSP00000402084	P30291
9606.ENSP00000371321	P35251
9606.ENSP00000329967	Q9UHD2
9606.ENSP00000349428	P26599
9606.ENSP00000211998	P18206
9606.ENSP00000306997	Q9NPC6
9606.ENSP00000358857	P50402
9606.ENSP00000314129	P19532
9606.ENSP00000315397	Q92665
9606.ENSP00000226730	P60568
9606.ENSP00000258149	Q00987
9606.ENSP00000234420	P52701
9606.ENSP00000345445	Q9Y512
9606.ENSP00000356218	Q9UHQ9
9606.ENSP00000387262	Q16891
9606.ENSP00000341280	Q92833
9606.ENSP00000205948	P02749
9606.ENSP00000385334	Q9Y6D9
9606.ENSP00000262962	Q9BW85
9606.ENSP00000247178	Q6ZNE5
9606.ENSP00000362139	Q5JZY3
9606.ENSP00000358423	Q9NQL2
9606.ENSP00000220853	Q15006
9606.ENSP00000419851	P49915
9606.ENSP00000298139	Q14191
9606.ENSP00000299238	Q86YV9
9606.ENSP00000417864	P39687
9606.ENSP00000293288	Q07812
9606.ENSP00000427695	P50616
9606.ENSP00000230538	Q16363
9606.ENSP00000274368	P24387
9606.ENSP00000379087	Q7Z4H4
9606.ENSP00000363313	O43172
9606.ENSP00000243911	P41968
9606.ENSP00000253083	O75146
9606.ENSP00000354468	P00387
9606.ENSP00000326737	Q9NP84
9606.ENSP00000373325	Q8NFR9
9606.ENSP00000266557	P26842
9606.ENSP00000300105	Q9Y698
9606.ENSP00000364037	Q9NXF1
9606.ENSP00000354607	Q13467
9606.ENSP00000216185	Q99757
9606.ENSP00000269228	O15118
9606.ENSP00000209875	P45973
9606.ENSP00000318646	P62244
9606.ENSP00000255194	O00203
9606.ENSP00000410759	Q9ULK2
9606.ENSP00000384109	Q13620
9606.ENSP00000406022	O95185
9606.ENSP00000340989	P31947
9606.ENSP00000475727	Q9P0N9
9606.ENSP00000375608	P43629
9606.ENSP00000249373	Q99835
9606.ENSP00000362300	Q9UL18
9606.ENSP00000262370	O60291
9606.ENSP00000286548	P50148
9606.ENSP00000262320	O15169
9606.ENSP00000386881	O75923
9606.ENSP00000358997	P51617
9606.ENSP00000363205	Q9Y697
9606.ENSP00000363054	Q86Y82
9606.ENSP00000295379	O95393
9606.ENSP00000267199	Q96AX1
9606.ENSP00000385035	P09871
9606.ENSP00000338185	Q9NQ66
9606.ENSP00000342681	P06127
9606.ENSP00000300692	P04234
9606.ENSP00000258774	O60921
9606.ENSP00000452007	Q86U28
9606.ENSP00000370125	P05114
9606.ENSP00000391669	P56945
9606.ENSP00000417132	Q92560
9606.ENSP00000231228	P29460
9606.ENSP00000364782	Q99519
9606.ENSP00000260947	Q99728
9606.ENSP00000430493	Q9UFF9
9606.ENSP00000255108	Q9BQC3
9606.ENSP00000307208	Q12830
9606.ENSP00000221265	Q8N7H5
9606.ENSP00000313199	Q14103
9606.ENSP00000410732	P18507
9606.ENSP00000419371	Q9H6S1
9606.ENSP00000478993	Q86YW7
9606.ENSP00000308925	Q9BXR5
9606.ENSP00000080059	Q8WUI4
9606.ENSP00000448165	O14727
9606.ENSP00000361512	P60891
9606.ENSP00000369855	Q96DX5
9606.ENSP00000380432	P01308
9606.ENSP00000479816	Q6P3S1
9606.ENSP00000364119	P20042
9606.ENSP00000356563	P56589
9606.ENSP00000364685	P55001
9606.ENSP00000223095	P05121
9606.ENSP00000332247	Q9Y487
9606.ENSP00000385722	Q8N201
9606.ENSP00000360154	Q01968
9606.ENSP00000381185	P10415
9606.ENSP00000359077	P32004
9606.ENSP00000325425	Q9NZL9
9606.ENSP00000260363	Q02241
9606.ENSP00000218089	Q8N3U4
9606.ENSP00000307078	P33176
9606.ENSP00000470788	P42701
9606.ENSP00000384364	P01303
9606.ENSP00000359848	Q92643
9606.ENSP00000379643	Q9NXR1
9606.ENSP00000373684	Q9Y2H1
9606.ENSP00000261167	Q9Y2W2
9606.ENSP00000326806	P52298
9606.ENSP00000357674	O95295
9606.ENSP00000328181	Q13253
9606.ENSP00000043402	Q9BZR6
9606.ENSP00000428518	O00451
9606.ENSP00000301838	Q13158
9606.ENSP00000412178	Q13574
9606.ENSP00000392147	Q5T1S7
9606.ENSP00000386651	Q8NI22
9606.ENSP00000249647	O00161
9606.ENSP00000318629	Q8NEZ2
9606.ENSP00000287600	O43924
9606.ENSP00000239938	P18146
9606.ENSP00000360762	Q15327
9606.ENSP00000398632	P16070
9606.ENSP00000482285	Q0D2I5
9606.ENSP00000411848	A0A0A0MSM7
9606.ENSP00000369857	Q6UWZ7
9606.ENSP00000168216	Q99714
9606.ENSP00000259206	P18510
9606.ENSP00000357047	Q9ULK4
9606.ENSP00000407818	P62068
9606.ENSP00000324318	Q8WVT3
9606.ENSP00000345772	Q99594
9606.ENSP00000245810	O60542
9606.ENSP00000242067	Q3SYG4
9606.ENSP00000381504	P11908
9606.ENSP00000400365	P24043
9606.ENSP00000345195	Q9UHD9
9606.ENSP00000308179	Q9UNX4
9606.ENSP00000254846	O15054
9606.ENSP00000268717	Q9UNS2
9606.ENSP00000311502	Q9ULI3
9606.ENSP00000254950	Q9UN37
9606.ENSP00000258457	Q9BVC5
9606.ENSP00000252506	O95257
9606.ENSP00000328773	O94992
9606.ENSP00000377492	O75330
9606.ENSP00000263915	Q14449
9606.ENSP00000396320	P35499
9606.ENSP00000299853	Q9NVU0
9606.ENSP00000360472	O95970
9606.ENSP00000354961	P03905
9606.ENSP00000378492	Q14416
9606.ENSP00000427463	P61009
9606.ENSP00000263798	Q06418
9606.ENSP00000265990	O14981
9606.ENSP00000250498	P61803
9606.ENSP00000229270	P60174
9606.ENSP00000361310	Q9Y253
9606.ENSP00000463027	Q13772
9606.ENSP00000216160	Q15750
9606.ENSP00000358019	Q9NXX6
9606.ENSP00000321239	Q96PM5
9606.ENSP00000343118	Q0VGL1
9606.ENSP00000258173	Q9H6L2
9606.ENSP00000252321	P22460
9606.ENSP00000394227	P15509
9606.ENSP00000354720	Q9UQE7
9606.ENSP00000466775	P02655
9606.ENSP00000251810	Q7LG56
9606.ENSP00000264645	O15234
9606.ENSP00000291554	P02489
9606.ENSP00000327459	Q9UH17
9606.ENSP00000360141	Q5JWF2
9606.ENSP00000245908	Q9BRG2
9606.ENSP00000438038	P26715
9606.ENSP00000280358	Q9BXU0
9606.ENSP00000295897	P02768
9606.ENSP00000415283	P13598
9606.ENSP00000314004	Q9UJX6
9606.ENSP00000360623	Q13415
9606.ENSP00000253024	Q13263
9606.ENSP00000345083	P46734
9606.ENSP00000351589	P0C0S8
9606.ENSP00000289429	P06126
9606.ENSP00000332194	Q16777
9606.ENSP00000350491	P49642
9606.ENSP00000258962	Q07955
9606.ENSP00000328023	P08240
9606.ENSP00000359483	Q8TDW0
9606.ENSP00000380878	P48454
9606.ENSP00000239926	Q9UBF9
9606.ENSP00000343701	P52294
9606.ENSP00000306138	P41594
9606.ENSP00000370938	P49336
9606.ENSP00000446093	Q9BSJ2
9606.ENSP00000242208	P08476
9606.ENSP00000357067	Q92806
9606.ENSP00000305924	Q6NUP7
9606.ENSP00000402338	Q9H7B2
9606.ENSP00000268182	P46940
9606.ENSP00000324729	Q9H4B6
9606.ENSP00000300030	Q9H5X1
9606.ENSP00000362105	Q9Y3A2
9606.ENSP00000381214	P0DJD1
9606.ENSP00000315659	Q6XZF7
9606.ENSP00000371347	Q9Y264
9606.ENSP00000351832	Q9H2M9
9606.ENSP00000263847	P22059
9606.ENSP00000334928	P23467
9606.ENSP00000287647	Q9BXW9
9606.ENSP00000386869	O43151
9606.ENSP00000421985	Q8TF40
9606.ENSP00000323720	O60244
9606.ENSP00000299563	Q8NCN4
9606.ENSP00000234396	P15313
9606.ENSP00000362532	Q9NQG5
9606.ENSP00000380109	Q8NI38
9606.ENSP00000372035	Q9NRM7
9606.ENSP00000384849	P38936
9606.ENSP00000294129	Q9NZQ3
9606.ENSP00000362399	P61764
9606.ENSP00000245907	P01024
9606.ENSP00000262265	Q9NWS0
9606.ENSP00000256190	Q86WG5
9606.ENSP00000321927	Q8NEE6
9606.ENSP00000301420	P06870
9606.ENSP00000253063	P58004
9606.ENSP00000364639	Q9Y580
9606.ENSP00000478767	Q96SB3
9606.ENSP00000251413	P23258
9606.ENSP00000342262	Q8NFH3
9606.ENSP00000378868	Q9NQ94
9606.ENSP00000294489	Q86YL7
9606.ENSP00000415536	P52434
9606.ENSP00000412302	O95983
9606.ENSP00000359645	P38159
9606.ENSP00000262094	O00194
9606.ENSP00000254661	O60894
9606.ENSP00000349204	Q9BUF7
9606.ENSP00000433295	P48544
9606.ENSP00000307134	Q9UQB3
9606.ENSP00000354340	Q8TBC4
9606.ENSP00000326813	Q5VVQ6
9606.ENSP00000269439	Q6ZSG1
9606.ENSP00000318821	Q96CN9
9606.ENSP00000377793	O43663
9606.ENSP00000275364	Q03113
9606.ENSP00000360002	O15217
9606.ENSP00000310129	Q13200
9606.ENSP00000437783	P07864
9606.ENSP00000355809	Q8N8S7
9606.ENSP00000249075	P15018
9606.ENSP00000371327	P26717
9606.ENSP00000155840	P51787
9606.ENSP00000262506	P19784
9606.ENSP00000347684	O60663
9606.ENSP00000358309	Q15375
9606.ENSP00000380093	P56693
9606.ENSP00000367830	Q05513
9606.ENSP00000449270	P61923
9606.ENSP00000356230	Q53G59
9606.ENSP00000450565	Q14626
9606.ENSP00000389600	Q9Y2C9
9606.ENSP00000349785	Q9BXW4
9606.ENSP00000242140	A6NGB9
9606.ENSP00000379110	P09341
9606.ENSP00000330658	Q13219
9606.ENSP00000344942	A6NIH7
9606.ENSP00000256509	O00533
9606.ENSP00000264709	Q9Y6K1
9606.ENSP00000203001	Q9UJA5
9606.ENSP00000347507	P12883
9606.ENSP00000354724	Q3KNV8
9606.ENSP00000441875	Q99623
9606.ENSP00000264072	P06734
9606.ENSP00000361895	Q8NA29
9606.ENSP00000441126	O43677
9606.ENSP00000278353	Q53GQ0
9606.ENSP00000417404	Q30201
9606.ENSP00000362424	Q8TDR0
9606.ENSP00000336868	P49450
9606.ENSP00000353452	Q15746
9606.ENSP00000215957	Q8N3F8
9606.ENSP00000264498	P09038
9606.ENSP00000363019	P51668
9606.ENSP00000400433	P52597
9606.ENSP00000394791	Q9P0U3
9606.ENSP00000264674	Q03112
9606.ENSP00000360532	Q99459
9606.ENSP00000365529	Q5T848
9606.ENSP00000451974	O43542
9606.ENSP00000261868	O75822
9606.ENSP00000384053	P32927
9606.ENSP00000469455	P34130
9606.ENSP00000305442	P83436
9606.ENSP00000426654	Q9UJX5
9606.ENSP00000364731	P08709
9606.ENSP00000380877	Q9H1I8
9606.ENSP00000415579	Q8NI51
9606.ENSP00000482063	P35227
9606.ENSP00000267750	Q5J8M3
9606.ENSP00000246112	Q9H808
9606.ENSP00000478024	O15467
9606.ENSP00000361475	P62166
9606.ENSP00000379156	Q6WCQ1
9606.ENSP00000363286	Q9NRF9
9606.ENSP00000363868	O95477
9606.ENSP00000348573	Q99996
9606.ENSP00000204549	Q8N8D1
9606.ENSP00000290953	O00253
9606.ENSP00000301295	Q96MN2
9606.ENSP00000396052	Q9HCU9
9606.ENSP00000368104	P12643
9606.ENSP00000306003	P56385
9606.ENSP00000263246	Q9UNF0
9606.ENSP00000440704	Q8IYJ3
9606.ENSP00000360576	Q9UHB4
9606.ENSP00000406037	Q9H7Z6
9606.ENSP00000296026	P19876
9606.ENSP00000413436	P27635
9606.ENSP00000331678	Q9Y446
9606.ENSP00000352400	P35658
9606.ENSP00000337128	P14138
9606.ENSP00000389714	Q9UI47
9606.ENSP00000357384	Q9P2X0
9606.ENSP00000263897	Q9NZ43
9606.ENSP00000365651	P16860
9606.ENSP00000384371	P41182
9606.ENSP00000349595	O14983
9606.ENSP00000418960	P38398
9606.ENSP00000318195	P19338
9606.ENSP00000229307	Q9H9S0
9606.ENSP00000362361	P50750
9606.ENSP00000259607	O00585
9606.ENSP00000394936	P19652
9606.ENSP00000347170	Q96FI4
9606.ENSP00000388169	P59998
9606.ENSP00000290158	Q14974
9606.ENSP00000346015	P46776
9606.ENSP00000305918	Q15059
9606.ENSP00000415090	Q6PIF6
9606.ENSP00000351813	Q9NX47
9606.ENSP00000294785	Q92542
9606.ENSP00000325594	Q96T51
9606.ENSP00000437955	Q16665
9606.ENSP00000348848	Q9Y484
9606.ENSP00000413625	Q96RU3
9606.ENSP00000431885	P29597
9606.ENSP00000296861	O75509
9606.ENSP00000349365	Q8NEV9
9606.ENSP00000380378	P43034
9606.ENSP00000383178	Q9NSV4
9606.ENSP00000359258	P48507
9606.ENSP00000318429	Q96M63
9606.ENSP00000263205	Q96RN5
9606.ENSP00000307863	P26368
9606.ENSP00000313571	P47929
9606.ENSP00000342889	P53803
9606.ENSP00000233627	O75251
9606.ENSP00000378332	O43294
9606.ENSP00000420182	B3KU38
9606.ENSP00000470152	Q9Y4J8
9606.ENSP00000425634	P12081
9606.ENSP00000385834	P02787
9606.ENSP00000322343	Q8IZL9
9606.ENSP00000478070	Q9NXE8
9606.ENSP00000433681	P42695
9606.ENSP00000409231	A5PLN9
9606.ENSP00000230340	Q13895
9606.ENSP00000419085	Q495A1
9606.ENSP00000433664	P78344
9606.ENSP00000309116	P35236
9606.ENSP00000324804	P30153
9606.ENSP00000265643	P22466
9606.ENSP00000483825	Q9Y6K9
9606.ENSP00000231572	P54136
9606.ENSP00000288266	Q9UKG1
9606.ENSP00000221992	P06731
9606.ENSP00000378769	P62140
9606.ENSP00000369860	Q8NHP6
9606.ENSP00000222547	O15155
9606.ENSP00000403453	Q5BJF6
9606.ENSP00000435637	O94779
9606.ENSP00000243253	P61619
9606.ENSP00000450842	Q3MIR4
9606.ENSP00000305372	P07550
9606.ENSP00000273317	Q9UGP4
9606.ENSP00000355605	Q8IYI6
9606.ENSP00000365682	Q04724
9606.ENSP00000371897	Q13017
9606.ENSP00000296145	P13385
9606.ENSP00000314499	O14976
9606.ENSP00000362014	Q05193
9606.ENSP00000261745	Q14CX7
9606.ENSP00000368528	Q9BUR5
9606.ENSP00000442308	O15226
9606.ENSP00000418268	Q7L590
9606.ENSP00000357048	P53621
9606.ENSP00000385057	Q9HC16
9606.ENSP00000295851	Q9NYB9
9606.ENSP00000393324	Q8N5X7
9606.ENSP00000451162	Q6ZU80
9606.ENSP00000276571	P06850
9606.ENSP00000354778	Q9UHC6
9606.ENSP00000406490	P54277
9606.ENSP00000479153	Q9H4M9
9606.ENSP00000380074	Q8NBW4
9606.ENSP00000379873	P04439
9606.ENSP00000229595	Q9Y294
9606.ENSP00000366800	Q9NVH1
9606.ENSP00000233154	O43639
9606.ENSP00000363017	P15927
9606.ENSP00000265070	Q9H4A6
9606.ENSP00000262395	Q9BUZ4
9606.ENSP00000416561	P00751
9606.ENSP00000364805	P34931
9606.ENSP00000377036	Q15257
9606.ENSP00000222390	P14210
9606.ENSP00000260402	Q00722
9606.ENSP00000228945	P52566
9606.ENSP00000355890	P07814
9606.ENSP00000326519	Q9BTK6
9606.ENSP00000401502	O43699
9606.ENSP00000349016	O75381
9606.ENSP00000412940	Q5H8C1
9606.ENSP00000273853	Q03188
9606.ENSP00000305810	Q9P2W9
9606.ENSP00000339328	Q03405
9606.ENSP00000264110	P15336
9606.ENSP00000435777	P62277
9606.ENSP00000250111	P14415
9606.ENSP00000431984	P07384
9606.ENSP00000272902	Q8NBK3
9606.ENSP00000261623	P13498
9606.ENSP00000252575	O14594
9606.ENSP00000217420	Q9H598
9606.ENSP00000356989	Q9UHV9
9606.ENSP00000226218	P04004
9606.ENSP00000357625	Q12983
9606.ENSP00000222812	Q16623
9606.ENSP00000312995	Q9HAW4
9606.ENSP00000241416	P27037
9606.ENSP00000317272	P08581
9606.ENSP00000317780	P20674
9606.ENSP00000392423	P78509
9606.ENSP00000250559	P61224
9606.ENSP00000364699	O14521
9606.ENSP00000288670	Q96PY5
9606.ENSP00000240652	P10997
9606.ENSP00000374399	Q96FX7
9606.ENSP00000403495	P01374
9606.ENSP00000349722	A0A087WY85
9606.ENSP00000343103	Q9NVM4
9606.ENSP00000483872	Q86UF1
9606.ENSP00000363745	O43390
9606.ENSP00000272286	Q9H221
9606.ENSP00000216797	P25963
9606.ENSP00000239151	P09067
9606.ENSP00000368632	P23771
9606.ENSP00000420616	Q14188
9606.ENSP00000356370	P82279
9606.ENSP00000350369	O15525
9606.ENSP00000244174	Q01113
9606.ENSP00000296137	Q9BQS8
9606.ENSP00000401946	Q9UPQ9
9606.ENSP00000363360	Q9NRY2
9606.ENSP00000482093	P56645
9606.ENSP00000362768	P28749
9606.ENSP00000314444	Q9P2L0
9606.ENSP00000256339	Q9P2D8
9606.ENSP00000258383	Q9H9J2
9606.ENSP00000378635	Q13474
9606.ENSP00000265433	O60934
9606.ENSP00000431445	P09693
9606.ENSP00000450527	Q9BPY8
9606.ENSP00000348206	Q9Y3B1
9606.ENSP00000333837	P52815
9606.ENSP00000414202	Q9UPN7
9606.ENSP00000337383	Q96P20
9606.ENSP00000366288	Q96PX8
9606.ENSP00000229402	Q12918
9606.ENSP00000383274	O43432
9606.ENSP00000367446	Q16394
9606.ENSP00000470262	Q8IUR0
9606.ENSP00000288490	O75912
9606.ENSP00000262238	P25490
9606.ENSP00000369497	P51587
9606.ENSP00000352678	Q8IYB8
9606.ENSP00000252996	O00268
9606.ENSP00000433919	P54105
9606.ENSP00000240123	O60504
9606.ENSP00000262418	P02730
9606.ENSP00000223136	Q9Y3D6
9606.ENSP00000270586	P28072
