"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","G protein-coupled amine receptor activity","GO:0008227","false","3.611602011613147e-52","51.44230011375261","39","83","22","63187","P35367,P08908,P35348,P08173,P08913,P35368,P20309,P08172,P50406,P08588,P28566,P25100,P28222,P11229,P07550,P28223,P21917,P28221,P28335,P13945,P30939,P18089"
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","false","3.574872706671915e-50","49.44673941785569","57","83","23","63187","P18507,P23416,P47869,P18505,Q12879,O15399,P14867,P47870,P46098,P31644,O14764,O60391,Q13224,P08588,Q14957,O75311,P48167,Q16445,P23415,P36544,Q99928,P48169,Q8TCU5"
"GO:MF","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","false","9.073074767711924e-48","47.042245510254546","55","83","22","63187","P18507,P23416,P47869,P18505,Q12879,O15399,P14867,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,O75311,P48167,Q16445,P23415,P36544,Q99928,P48169,Q8TCU5"
"GO:MF","gated channel activity","GO:0022836","false","1.6699977054572225e-47","46.77728412556377","315","83","31","63187","P18507,P23416,P28472,O00591,P47869,P18505,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,P28222,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","ligand-gated monoatomic anion channel activity","GO:0099095","false","7.664934658789082e-45","44.11549154302073","20","83","17","63187","P18507,P23416,P28472,P47869,P18505,P14867,Q8N1C3,P47870,P31644,O75311,P48167,Q16445,P23415,P78334,P34903,Q99928,P48169"
"GO:MF","monoatomic ion channel activity","GO:0005216","false","1.0607497280592183e-44","43.97438707089992","444","83","32","63187","P18507,P23416,P28472,O00591,P47869,P18505,P31645,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,P28222,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","true","4.146428727765371e-43","42.38232579522902","727","83","35","63187","P18507,P23416,P28472,O00591,P19634,P47869,P18505,P31645,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,P20815,O60391,Q13224,Q14957,Q96FL8,P28222,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","channel activity","GO:0015267","false","8.149676772344995e-43","42.08885961564906","507","83","32","63187","P18507,P23416,P28472,O00591,P47869,P18505,P31645,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,P28222,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","8.690695764021264e-43","42.06094545319698","508","83","32","63187","P18507,P23416,P28472,O00591,P47869,P18505,P31645,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,P28222,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","4.9195631539471545e-42","41.30807345988575","692","83","34","63187","P18507,P23416,P28472,O00591,P19634,P47869,P18505,P31645,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P31644,O14764,P20815,O60391,Q13224,Q14957,Q96FL8,P28222,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","GABA-A receptor activity","GO:0004890","false","6.142644402386111e-42","41.21164462525532","19","83","16","63187","P18507,P28472,O00591,P47869,P18505,P14867,Q8N1C3,P47870,P31644,O14764,Q9UN88,Q16445,P78334,P34903,Q99928,P48169"
"GO:MF","transmembrane transporter activity","GO:0022857","false","2.1237131716714274e-41","40.67290413936648","1127","83","38","63187","P18507,P23416,P28472,O00591,P19634,P47869,P18505,P31645,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,P20815,O60391,Q13224,Q14957,Q96FL8,Q9UNQ0,P28222,Q9UN88,O75311,P48167,Q9H015,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P08183,P48169,Q8TCU5"
"GO:MF","GABA receptor activity","GO:0016917","false","4.715685363737331e-40","39.32645517926633","22","83","16","63187","P18507,P28472,O00591,P47869,P18505,P14867,Q8N1C3,P47870,P31644,O14764,Q9UN88,Q16445,P78334,P34903,Q99928,P48169"
"GO:MF","transporter activity","GO:0005215","false","7.609271001524254e-40","39.118656948377996","1239","83","38","63187","P18507,P23416,P28472,O00591,P19634,P47869,P18505,P31645,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,P20815,O60391,Q13224,Q14957,Q96FL8,Q9UNQ0,P28222,Q9UN88,O75311,P48167,Q9H015,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P08183,P48169,Q8TCU5"
"GO:MF","inhibitory extracellular ligand-gated monoatomic ion channel activity","GO:0005237","false","5.40792869569055e-39","38.26696904326322","14","83","14","63187","P18507,P23416,P47869,P14867,Q8N1C3,P31644,O75311,P48167,Q16445,P23415,P78334,P34903,Q99928,P48169"
"GO:MF","chloride channel activity","GO:0005254","false","2.4528497945043055e-38","37.61032904592947","80","83","20","63187","P18507,P23416,P28472,O00591,P47869,P18505,P14867,Q8N1C3,P47870,P31644,O14764,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P34903,Q99928,P48169"
"GO:MF","chloride transmembrane transporter activity","GO:0015108","false","5.24601027685117e-37","36.28017086296881","117","83","21","63187","P18507,P23416,P28472,O00591,P47869,P18505,P31645,P14867,Q8N1C3,P47870,P31644,O14764,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P34903,Q99928,P48169"
"GO:MF","monoatomic anion channel activity","GO:0005253","false","7.289158549454929e-37","36.137322603152604","93","83","20","63187","P18507,P23416,P28472,O00591,P47869,P18505,P14867,Q8N1C3,P47870,P31644,O14764,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P34903,Q99928,P48169"
"GO:MF","GABA-gated chloride ion channel activity","GO:0022851","false","4.880578391736556e-36","35.31152870720739","13","83","13","63187","P18507,P28472,P47869,P18505,P14867,Q8N1C3,P47870,P31644,Q16445,P78334,P34903,Q99928,P48169"
"GO:MF","monoatomic anion transmembrane transporter activity","GO:0008509","false","2.23892097003086e-35","34.64996123598115","138","83","21","63187","P18507,P23416,P28472,O00591,P47869,P18505,P31645,P14867,Q8N1C3,P47870,P31644,O14764,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P34903,Q99928,P48169"
"GO:MF","inorganic anion transmembrane transporter activity","GO:0015103","false","1.4591698107469967e-34","33.835894164186726","150","83","21","63187","P18507,P23416,P28472,O00591,P47869,P18505,P31645,P14867,Q8N1C3,P47870,P31644,O14764,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P34903,Q99928,P48169"
"GO:MF","G protein-coupled serotonin receptor activity","GO:0004993","false","1.715240022618885e-33","32.765675098242134","22","83","14","63187","P35367,P08908,P08173,P20309,P08172,P50406,P28566,P28222,P11229,P28223,P21917,P28221,P28335,P30939"
"GO:MF","G protein-coupled receptor activity","GO:0004930","false","1.2937300381747552e-27","26.88815633816707","838","83","27","63187","P21918,P35367,P08908,P18505,P35348,P08173,P08913,P21728,P14416,P35368,P20309,P08172,P50406,P08588,P28566,P35462,P25100,P28222,P11229,P07550,P28223,P21917,P28221,P28335,P13945,P30939,P18089"
"GO:MF","benzodiazepine receptor activity","GO:0008503","false","3.6236830753999515e-26","25.440849792403526","11","83","10","63187","P18507,P47869,P14867,Q8N1C3,P31644,Q16445,P78334,P34903,Q99928,P48169"
"GO:MF","ion binding","GO:0043167","true","1.0091944351251914e-23","22.99602515292367","6146","83","47","63187","P23416,P21918,P31513,P19634,P08908,P31645,P02768,P98066,P10635,P05067,Q12879,O15399,P20813,P08913,P06276,P21728,P14416,P24462,P46098,P20309,P11712,O60391,Q13224,P28566,P22303,Q9UNQ0,P28222,P08684,P33261,P07550,P28223,O75311,Q9HB55,P21917,P48167,Q9H015,P28335,P13945,P23415,P36544,P05177,P30939,Q05586,P08183,Q8TCU5,P11509,P05181"
"GO:MF","small molecule binding","GO:0036094","false","4.355253404501354e-23","22.36098657108687","6357","83","47","63187","P23416,P21918,P31513,P19634,P08908,P31645,P02768,P98066,P10635,P05067,Q12879,O15399,P20813,P08913,P06276,P21728,P14416,P24462,P46098,P20309,P11712,O60391,Q13224,P28566,P22303,Q9UNQ0,P28222,P08684,P33261,P07550,P28223,O75311,Q9HB55,P21917,P48167,Q9H015,P28335,P13945,P23415,P36544,P05177,P30939,Q05586,P08183,Q8TCU5,P11509,P05181"
"GO:MF","cation binding","GO:0043169","false","7.508730293530006e-23","22.124433494837817","4444","83","41","63187","P23416,P21918,P08908,P31645,P02768,P98066,P10635,P05067,Q12879,P20813,P08913,P06276,P21728,P14416,P24462,P46098,P20309,P11712,O60391,Q13224,P28566,P22303,P28222,P08684,P33261,P07550,P28223,O75311,Q9HB55,P21917,P48167,P28335,P13945,P23415,P36544,P05177,P30939,Q05586,Q8TCU5,P11509,P05181"
"GO:MF","serotonin binding","GO:0051378","false","1.5452355300520224e-22","21.8110053145525","11","83","9","63187","P08908,P31645,P46098,P28566,P28222,P28223,P21917,P28335,P30939"
"GO:MF","amine binding","GO:0043176","false","1.400244310741146e-20","19.853796183214655","15","83","9","63187","P08908,P31645,P46098,P28566,P28222,P28223,P21917,P28335,P30939"
"GO:MF","adrenergic receptor activity","GO:0004935","false","1.0650134491925987e-19","18.972644907837214","10","83","8","63187","P35348,P08913,P35368,P08588,P25100,P07550,P13945,P18089"
"GO:MF","glycine binding","GO:0016594","false","3.9009286856260734e-19","18.40883198911968","11","83","8","63187","P23416,O60391,Q13224,O75311,P48167,P23415,Q05586,Q8TCU5"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","GO:0016712","false","6.107282542470138e-18","17.2141519876843","43","83","10","63187","P10635,P20813,P24462,P11712,P08684,P33261,Q9HB55,P05177,P11509,P05181"
"GO:MF","NMDA glutamate receptor activity","GO:0004972","false","1.5756445805538366e-17","16.80254173996328","8","83","7","63187","Q12879,O15399,O60391,Q13224,Q14957,Q05586,Q8TCU5"
"GO:MF","ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","GO:0099507","false","3.0267046772159697e-17","16.519029952123194","16","83","8","63187","P47869,P18505,O15399,P46098,P31644,O60391,Q13224,P23415"
"GO:MF","catecholamine binding","GO:1901338","false","2.3584941830828255e-16","15.627365190547449","10","83","7","63187","P21918,P08913,P21728,P14416,P07550,P21917,P13945"
"GO:MF","monooxygenase activity","GO:0004497","false","7.711501247896215e-16","15.112861066798558","104","83","11","63187","P31513,P10635,P20813,P24462,P11712,P08684,P33261,Q9HB55,P05177,P11509,P05181"
"GO:MF","amino acid binding","GO:0016597","false","8.194302024118707e-15","14.08648803293952","51","83","9","63187","P23416,O15399,O60391,Q13224,O75311,P48167,P23415,Q05586,Q8TCU5"
"GO:MF","glutamate-gated receptor activity","GO:0004970","false","9.809899344703147e-14","13.008335448712229","19","83","7","63187","Q12879,O15399,O60391,Q13224,Q14957,Q05586,Q8TCU5"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705","false","3.3241192102293883e-13","12.478323409852889","178","83","11","63187","P31513,P10635,P20813,P24462,P11712,P08684,P33261,Q9HB55,P05177,P11509,P05181"
"GO:MF","carboxylic acid transmembrane transporter activity","GO:0046943","false","3.3241192102293883e-13","12.478323409852889","178","83","11","63187","Q12879,O15399,O60391,Q13224,Q14957,Q96FL8,Q9UNQ0,Q9H015,Q05586,P08183,Q8TCU5"
"GO:MF","organic acid transmembrane transporter activity","GO:0005342","false","3.5380653356309724e-13","12.451234151459646","179","83","11","63187","Q12879,O15399,O60391,Q13224,Q14957,Q96FL8,Q9UNQ0,Q9H015,Q05586,P08183,Q8TCU5"
"GO:MF","aromatase activity","GO:0070330","false","9.299669612186483e-13","12.031532480279727","25","83","7","63187","P24462,P11712,P08684,P33261,Q9HB55,P05177,P05181"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","false","1.1938127354666268e-12","11.923063792412531","608","83","15","63187","P19634,P31645,Q12809,Q12879,O15399,P46098,P20815,O60391,Q13224,Q14957,Q96FL8,P28222,P36544,Q05586,Q8TCU5"
"GO:MF","steroid hydroxylase activity","GO:0008395","false","1.2712469742680469e-12","11.895770067744916","26","83","7","63187","P20813,P24462,P11712,P08684,P33261,Q9HB55,P05177"
"GO:MF","dopamine neurotransmitter receptor activity","GO:0004952","false","1.3104491288632558e-12","11.882579833536758","5","83","5","63187","P21918,P21728,P14416,P35462,P21917"
"GO:MF","glutamate-gated calcium ion channel activity","GO:0022849","false","1.3104491288632558e-12","11.882579833536758","5","83","5","63187","Q12879,O15399,Q13224,Q14957,Q05586"
"GO:MF","G protein-coupled neurotransmitter receptor activity","GO:0099528","false","1.485490818890712e-12","11.828130028018798","12","83","6","63187","P18505,P08173,P20309,P08172,P08588,P11229"
"GO:MF","identical protein binding","GO:0042802","false","1.6646522796173946e-12","11.77867647015434","2162","83","23","63187","P28472,P19838,P19634,P31645,Q12809,P02768,P05067,P08913,P06276,P14416,P46098,P22303,Q9UNQ0,P25100,P07550,P28223,P21917,P22310,P28335,P13945,P23415,P36544,Q8TCU5"
"GO:MF","glutamate receptor activity","GO:0008066","false","1.714377141779449e-12","11.765893632484913","27","83","7","63187","Q12879,O15399,O60391,Q13224,Q14957,Q05586,Q8TCU5"
"GO:MF","heme binding","GO:0020037","false","2.0477885655084544e-12","11.688714886355028","143","83","10","63187","P10635,P20813,P24462,P11712,P08684,P33261,Q9HB55,P05177,P11509,P05181"
"GO:MF","tetrapyrrole binding","GO:0046906","false","4.070104953019928e-12","11.390394391774846","153","83","10","63187","P10635,P20813,P24462,P11712,P08684,P33261,Q9HB55,P05177,P11509,P05181"
"GO:MF","iron ion binding","GO:0005506","false","4.9559720026708316e-12","11.30487115571","156","83","10","63187","P10635,P20813,P24462,P11712,P08684,P33261,Q9HB55,P05177,P11509,P05181"
"GO:MF","amino acid transmembrane transporter activity","GO:0015171","false","5.3357640612120166e-12","11.272803382460907","101","83","9","63187","Q12879,O15399,O60391,Q13224,Q14957,Q96FL8,Q9H015,Q05586,Q8TCU5"
"GO:MF","alpha-adrenergic receptor activity","GO:0004936","false","7.854605837086124e-12","11.104875604013387","6","83","5","63187","P35348,P08913,P35368,P25100,P18089"
"GO:MF","monoatomic cation channel activity","GO:0005261","false","1.0988650578640672e-11","10.959055636260066","336","83","12","63187","P31645,Q12809,Q12879,O15399,P46098,O60391,Q13224,Q14957,P28222,P36544,Q05586,Q8TCU5"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","1.11595524780724e-11","10.952353221187032","569","83","14","63187","P19634,P31645,Q12809,Q12879,O15399,P20815,O60391,Q13224,Q14957,Q96FL8,P28222,P36544,Q05586,Q8TCU5"
"GO:MF","organic anion transmembrane transporter activity","GO:0008514","false","1.9190349337896923e-11","10.716917119368746","257","83","11","63187","Q12879,O15399,O60391,Q13224,Q14957,Q96FL8,Q9UNQ0,Q9H015,Q05586,P08183,Q8TCU5"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","GO:0016709","false","2.408331753268837e-11","10.618283688224025","38","83","7","63187","P31513,P10635,P20813,P11712,P08684,P33261,P05181"
"GO:MF","calcium channel activity","GO:0005262","false","4.405620009258575e-11","10.35599296406199","127","83","9","63187","Q12879,O15399,O60391,Q13224,Q14957,P28222,P36544,Q05586,Q8TCU5"
"GO:MF","carboxylic acid binding","GO:0031406","false","4.703505691924035e-11","10.32757832607942","195","83","10","63187","P23416,P02768,O15399,O60391,Q13224,O75311,P48167,P23415,Q05586,Q8TCU5"
"GO:MF","organic acid binding","GO:0043177","false","8.556493464381595e-11","10.067704177036685","207","83","10","63187","P23416,P02768,O15399,O60391,Q13224,O75311,P48167,P23415,Q05586,Q8TCU5"
"GO:MF","calcium ion transmembrane transporter activity","GO:0015085","false","1.4783940680141617e-10","9.830209788706412","145","83","9","63187","Q12879,O15399,O60391,Q13224,Q14957,P28222,P36544,Q05586,Q8TCU5"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","false","3.0007321354144926e-10","9.522772770754255","445","83","12","63187","P19634,P31645,Q12809,Q12879,O15399,O60391,Q13224,Q14957,P28222,P36544,Q05586,Q8TCU5"
"GO:MF","norepinephrine binding","GO:0051380","false","1.0480773077084458e-9","8.979606681977376","4","83","4","63187","P08913,P07550,P21917,P13945"
"GO:MF","extracellularly glycine-gated ion channel activity","GO:0016933","false","1.0480773077084458e-9","8.979606681977376","4","83","4","63187","P23416,O75311,P48167,P23415"
"GO:MF","extracellularly glycine-gated chloride channel activity","GO:0016934","false","1.0480773077084458e-9","8.979606681977376","4","83","4","63187","P23416,O75311,P48167,P23415"
"GO:MF","voltage-gated monoatomic ion channel activity","GO:0005244","false","1.217106167215364e-9","8.914671536950907","183","83","9","63187","Q12809,Q12879,O15399,O60391,Q13224,Q14957,P28222,Q05586,Q8TCU5"
"GO:MF","voltage-gated channel activity","GO:0022832","false","1.4090679781445006e-9","8.851068054569208","186","83","9","63187","Q12809,Q12879,O15399,O60391,Q13224,Q14957,P28222,Q05586,Q8TCU5"
"GO:MF","excitatory extracellular ligand-gated monoatomic ion channel activity","GO:0005231","false","3.641116041774036e-9","8.438765479951234","37","83","6","63187","P23416,P46098,O75311,P48167,P23415,P36544"
"GO:MF","ligand-gated monoatomic cation channel activity","GO:0099094","false","4.3262519774630864e-9","8.363888189188458","134","83","8","63187","Q12809,Q12879,O15399,P46098,Q13224,Q14957,P36544,Q05586"
"GO:MF","estrogen 2-hydroxylase activity","GO:0101021","false","5.235144742026765e-9","8.28107130638351","5","83","4","63187","P20813,P24462,P08684,P05177"
"GO:MF","arachidonic acid epoxygenase activity","GO:0008392","false","5.659602860430906e-9","8.247214042588167","16","83","5","63187","P20813,P11712,P33261,P11509,P05181"
"GO:MF","transition metal ion binding","GO:0046914","false","7.698379992365403e-9","8.113600655918164","1124","83","15","63187","P02768,P10635,P05067,Q12879,P20813,P24462,P11712,Q13224,P08684,P33261,Q9HB55,P23415,P05177,P11509,P05181"
"GO:MF","organic cyclic compound binding","GO:0097159","false","8.06717099803993e-9","8.093278737315362","7546","83","34","63187","P21918,P31513,P19838,P08908,Q00653,P31645,Q12809,P02768,P10635,P05067,P20813,P08913,P21728,P14416,P24462,P46098,P11712,P28566,Q9UNQ0,P28222,P08684,P33261,P07550,P28223,Q9HB55,P21917,Q9H015,P28335,P13945,P05177,P30939,P08183,P11509,P05181"
"GO:MF","amyloid-beta binding","GO:0001540","false","8.234746822883446e-9","8.084349748663614","84","83","7","63187","Q12879,P06276,Q13224,P22303,P07550,P36544,Q05586"
"GO:MF","arachidonic acid monooxygenase activity","GO:0008391","false","1.107870268145332e-8","7.9555110926105685","18","83","5","63187","P20813,P11712,P33261,P11509,P05181"
"GO:MF","epinephrine binding","GO:0051379","false","1.568972501440618e-8","7.8043846679983115","6","83","4","63187","P08913,P21917,P13945,P18089"
"GO:MF","acetylcholine receptor activity","GO:0015464","false","3.39108448720328e-8","7.46966138985356","22","83","5","63187","P08173,P20309,P08172,P11229,P36544"
"GO:MF","dopamine binding","GO:0035240","false","3.6572741248643815e-8","7.43684248662553","7","83","4","63187","P21918,P21728,P14416,P21917"
"GO:MF","G protein-coupled acetylcholine receptor activity","GO:0016907","false","3.6572741248643815e-8","7.43684248662553","7","83","4","63187","P08173,P20309,P08172,P11229"
"GO:MF","estrogen 16-alpha-hydroxylase activity","GO:0101020","false","7.307232359976925e-8","7.13624708246574","8","83","4","63187","P24462,P08684,Q9HB55,P05177"
"GO:MF","ligand-gated calcium channel activity","GO:0099604","false","1.034242318447025e-7","6.9853776960243845","27","83","5","63187","Q12879,O15399,Q13224,Q14957,Q05586"
"GO:MF","oxidoreductase activity","GO:0016491","false","1.0798791116155983e-7","6.966624859417509","742","83","12","63187","P31513,P10635,P20813,P24462,P11712,P20815,P08684,P33261,Q9HB55,P05177,P11509,P05181"
"GO:MF","oxygen binding","GO:0019825","false","3.5391909270125685e-7","6.451096008057206","34","83","5","63187","P02768,P24462,P08684,P33261,P05181"
"GO:MF","anandamide 8,9 epoxidase activity","GO:0062187","false","8.277714576281314e-7","6.082089552576851","3","83","3","63187","P10635,P20813,P08684"
"GO:MF","anandamide 11,12 epoxidase activity","GO:0062188","false","8.277714576281314e-7","6.082089552576851","3","83","3","63187","P10635,P20813,P08684"
"GO:MF","alpha1-adrenergic receptor activity","GO:0004937","false","8.277714576281314e-7","6.082089552576851","3","83","3","63187","P35348,P35368,P25100"
"GO:MF","dopamine neurotransmitter receptor activity, coupled via Gi/Go","GO:0001591","false","8.277714576281314e-7","6.082089552576851","3","83","3","63187","P14416,P35462,P21917"
"GO:MF","anandamide 14,15 epoxidase activity","GO:0062189","false","0.000003307941598589385","5.480442166481722","4","83","3","63187","P10635,P20813,P08684"
"GO:MF","testosterone 6-beta-hydroxylase activity","GO:0050649","false","0.000003307941598589385","5.480442166481722","4","83","3","63187","P24462,P08684,Q9HB55"
"GO:MF","caffeine oxidase activity","GO:0034875","false","0.000003307941598589385","5.480442166481722","4","83","3","63187","P11712,P08684,P05177"
"GO:MF","oxidoreductase activity, acting on CH or CH2 groups, quinone or similar compound as acceptor","GO:0033695","false","0.000003307941598589385","5.480442166481722","4","83","3","63187","P11712,P08684,P05177"
"GO:MF","beta-adrenergic receptor activity","GO:0004939","false","0.000003307941598589385","5.480442166481722","4","83","3","63187","P08588,P07550,P13945"
"GO:MF","anandamide epoxidase activity","GO:0062186","false","0.000003307941598589385","5.480442166481722","4","83","3","63187","P10635,P20813,P08684"
"GO:MF","heterotrimeric G-protein binding","GO:0032795","false","0.000016508312833706448","4.782297309805213","6","83","3","63187","P08913,P21728,P14416"
"GO:MF","enzyme binding","GO:0019899","false","0.00003547622424600196","4.45006260858059","2103","83","15","63187","P19634,P31645,Q12809,P05067,P08913,P06276,P08684,P33261,P07550,P22310,P05177,P08183,Q8TCU5,P11509,P05181"
